est_e,est_s,log_likelihood,log_likelihood_null,mmpp
1.1536668814371235e-05,1.0,-38.305116023526935,-38.30511602914621,1.0
6.851814862527619e-05,1.0,-79.16340375970266,-79.16340375997427,1.0
1.1285821546095728e-05,1.0,-35.01465375124077,-35.01465384894151,0.9999999999999557
2.2427791155821148e-05,1.0,-28.787441458406338,-28.787441447633437,1.0
8.173496366143276e-05,1.0,-93.10621007540605,-93.10621007902313,0.9999999999999996
6.735461724144012e-05,1.0,-73.3987710381924,-73.39877103841542,1.0
2.3010154270974957e-05,1.0,-70.85466896454592,-70.85466895869304,0.9999999999999996
5.693645563642318e-05,1.0,-84.32325290190269,-84.3232529209607,1.0
7.411842567991258e-05,1.0,-101.20521332896602,-101.20521332833087,0.9999999964528041
7.977179174616945e-05,1.0,-121.23716099284874,-121.23716100185706,1.0
4.6992898641026474e-05,1.0,-115.29623294218972,-115.29623295940928,1.0
3.5996740818436075e-05,1.0,-60.75227486738326,-60.75227486835439,0.9999973737727093
2.248047525993257e-05,1.0,-37.33385486173412,-37.333854851510466,0.9999999999146514
8.27510482319728e-05,1.0,-119.15129474894589,-119.15129475100852,0.9999999997870473
9.170150581796247e-05,1.0,-117.07286882076491,-117.0728688209473,1.0
2.2586837135128663e-05,1.0,-90.61183496207018,-90.61183495279661,0.9999999999999949
6.108696580903593e-05,1.0,-105.60052846048927,-105.60052846249387,1.0
0.00010405723129465956,1.0,-122.94776586022815,-122.94776586008668,0.9999999999999999
9.026223479936863e-05,1.0,-111.56919083928922,-111.56919083957703,0.9999769030281381
2.2500866226335705e-05,1.0,-72.32916693907575,-72.3291669290465,1.0
1.1341502058287944e-05,1.0,-45.64106072529626,-45.64106082201229,1.0
6.94588958821341e-05,1.0,-93.40679996964784,-93.40679996991068,0.9999999980533382
5.964430693015537e-05,1.0,-94.58365362366973,-94.58365362782688,1.0
7.340129810880004e-05,1.0,-89.80571749257776,-89.8057174915758,0.9999832083064518
4.552706785782472e-05,1.0,-73.99886010220368,-73.9988601256422,1.0
