est_e,est_s,log_likelihood,log_likelihood_null,mmpp
3.41574977325119e-05,0.9998258433413068,-74.78352334232997,-82.13647458568697,0.8322771429451656
1.1528718315681036e-05,0.9999520021652978,-47.355359062299925,-94.98482258730063,0.9578148272080668
3.403521562984033e-05,0.9999605525177617,-73.94007983937281,-135.38707870066662,0.9591495445545805
2.284578067265785e-05,0.9999528770730428,-63.44639052582799,-70.69965631311162,0.9193142211234946
3.368815414651848e-05,0.999945249493626,-50.775555738046286,-57.86864376304806,0.7153797179855196
2.274090988712655e-05,0.9999600454939969,-65.87629781022285,-117.48816522643571,0.9779217875257449
4.5290172835783596e-05,0.999955846444717,-68.82575041482697,-96.68737061257126,0.6950866564424781
5.639161833262426e-05,0.9999553640974362,-97.19439756590668,-178.15625774727133,0.9668327063938694
3.417953086637169e-05,0.9999616068791964,-71.61739058874122,-129.67676079352216,0.9743258426806664
9.559724464304885e-05,0.9999503168209485,-134.47646290408747,-203.64115954509512,0.9688699342268952
1.2916629644691283e-05,0.9999669825796097,-67.16346668207437,-68.30478099285406,0.9731499533403657
9.96792890887933e-05,0.999942766363835,-108.57043524130337,-129.89936367768593,0.8388353596997014
0.00010134941401123176,0.9999621899242681,-151.1945477143467,-174.67269487702328,0.9367654221744605
5.521370226166776e-05,0.9999963244089685,-79.63675499563355,-79.64031880932893,0.9848947470105609
5.981319234965196e-05,0.9999570277292429,-119.60184083648548,-156.90340132619508,0.9804287940182649
3.4509029876519794e-05,0.9999596502620436,-93.2722777866849,-160.663035787521,0.9801522987680755
2.3965944903675742e-05,0.9999603819381092,-68.91734202556212,-106.38671342070701,0.9711697235091983
4.4966762858367224e-05,0.9999396390725648,-64.30147452328167,-70.80282214705004,0.7459698473272395
8.201414764567356e-05,0.9999604888868343,-111.00901985831709,-224.3635388406887,0.9730313038211359
1e-08,0.9999486390401562,-45.063197568755186,-73.6832886683478,0.9251662668221232
5.774117119434644e-05,0.9999613260981569,-121.34194379151629,-166.34774284232248,0.9888620944454416
1.1387282391220126e-05,0.99995926168768,-46.54460779812749,-106.88798329927872,0.9795982694664092
4.4920554557933086e-05,0.9999629772293893,-60.97739106363842,-86.31476857160703,0.973706581978872
4.8790908994580675e-05,0.9999183246591475,-72.81840907350467,-129.05940028026683,0.6810524083165569
3.578748018185653e-05,0.9999541678429887,-75.65500530385282,-162.41155129277936,0.929591180392516
3.5913869695168577e-05,0.9999555341859928,-69.59789035647363,-103.73271136055726,0.8560461455375299
3.4916514762385355e-05,0.9999565870821858,-73.42694821518234,-103.79192823802795,0.9819704643837196
4.52057501069732e-05,0.9999244024727256,-66.61331607201666,-70.41007023814058,0.6334002492131408
4.5295986242254984e-05,0.9999608392007903,-87.48138452173393,-153.3748701752931,0.991086102570578
2.3409647155421597e-05,0.999963630208561,-70.14298529106466,-193.5209782403213,0.9965853666621698
4.405320053154758e-05,0.9999533199551032,-66.17972530356073,-117.94550957707968,0.9557243756510971
2.463052231643655e-05,1.0,-49.362986657841,-49.36298665583309,0.999999971714929
4.53640337057202e-05,0.9999580212841347,-78.54700802478185,-133.02437156577014,0.9605233201314943
4.5327755638405934e-05,0.9999562448712996,-87.54267915190447,-117.85836410712594,0.9240555544689534
3.5633637785222905e-05,0.9999588400953191,-71.53995113957654,-76.9123473376971,0.8827113235142388
6.774327467339382e-05,0.9999555672208904,-91.87513813866721,-113.85981212319928,0.9697930451985755
4.538411002210811e-05,0.9999632947463964,-84.48363443187776,-100.06903967173632,0.9681425910250555
1.1832913432020668e-05,0.9999557986129349,-47.048189622599715,-84.4140126819015,0.6847834523838385
2.3114948454975273e-05,0.999957391969433,-53.456383762395454,-162.628264928231,0.9739273951752039
4.686516012009149e-05,1.0,-73.13468897472603,-73.13468899224493,0.9999999976115621
5.8179514096756566e-05,0.9999294807083847,-82.69946708081062,-193.98302631217504,0.8680598409270655
4.5496370694299305e-05,0.999951470643238,-68.90192951012833,-131.29689611054263,0.9525618301191783
6.799299935473141e-05,0.9999554273712276,-109.4929935873228,-171.84007920825223,0.926743092513875
2.2573157085502848e-05,0.9999473210479342,-45.784822355721154,-55.295171448887196,0.8740626630153112
